router

#node	city	y	x	mpi-partition
sensor	NA	0	0	0
user	NA	1	1	1
rtr-001	NA	2	2	2
rtr-002	NA	3	3	2
rtr-003	NA	4	4	2
rtr-004	NA	5	5	2
rtr-005	NA	6	6	2
rtr-006	NA	7	7	2
rtr-007	NA	8	8	2
rtr-008	NA	9	9	2
rtr-009	NA	10	10	2
rtr-010	NA	11	11	2
rtr-011	NA	12	12	2
rtr-012	NA	13	13	2
rtr-013	NA	14	14	2
rtr-014	NA	15	15	2
rtr-015	NA	16	16	2
rtr-016	NA	17	17	2
rtr-017	NA	18	18	2
rtr-018	NA	19	19	2
rtr-019	NA	20	20	2
rtr-020	NA	21	21	2
rtr-021	NA	22	22	2
rtr-022	NA	23	23	2
rtr-023	NA	24	24	2
rtr-024	NA	25	25	2
rtr-025	NA	26	26	2
rtr-026	NA	27	27	2
rtr-027	NA	28	28	2
rtr-028	NA	29	29	2
rtr-029	NA	30	30	2
rtr-030	NA	31	31	2
rtr-031	NA	32	32	2
rtr-032	NA	33	33	2
rtr-033	NA	34	34	2
rtr-034	NA	35	35	2
rtr-035	NA	36	36	2
rtr-036	NA	37	37	2
rtr-037	NA	38	38	2
rtr-038	NA	39	39	2
rtr-039	NA	40	40	2
rtr-040	NA	41	41	2
rtr-041	NA	42	42	2
rtr-042	NA	43	43	2
rtr-043	NA	44	44	2
rtr-044	NA	45	45	2
rtr-045	NA	46	46	2
rtr-046	NA	47	47	2
rtr-047	NA	48	48	2
rtr-048	NA	49	49	2
rtr-049	NA	50	50	2
rtr-050	NA	51	51	2
rtr-051	NA	52	52	2
rtr-052	NA	53	53	2
rtr-053	NA	54	54	2
rtr-054	NA	55	55	2
rtr-055	NA	56	56	2
rtr-056	NA	57	57	2
rtr-057	NA	58	58	2
rtr-058	NA	59	59	2
rtr-059	NA	60	60	2
rtr-060	NA	61	61	2
rtr-061	NA	62	62	2
rtr-062	NA	63	63	2
rtr-063	NA	64	64	2
rtr-064	NA	65	65	2
rtr-065	NA	66	66	2
rtr-066	NA	67	67	2
rtr-067	NA	68	68	2
rtr-068	NA	69	69	2
rtr-069	NA	70	70	2
rtr-070	NA	71	71	2
rtr-071	NA	72	72	2
rtr-072	NA	73	73	2
rtr-073	NA	74	74	2
rtr-074	NA	75	75	2
rtr-075	NA	76	76	2
rtr-076	NA	77	77	2
rtr-077	NA	78	78	2
rtr-078	NA	79	79	2
rtr-079	NA	80	80	2
rtr-080	NA	81	81	2
rtr-081	NA	82	82	2
rtr-082	NA	83	83	2
rtr-083	NA	84	84	2
rtr-084	NA	85	85	2
rtr-085	NA	86	86	2
rtr-086	NA	87	87	2
rtr-087	NA	88	88	2
rtr-088	NA	89	89	2
rtr-089	NA	90	90	2
rtr-090	NA	91	91	2
rtr-091	NA	92	92	2
rtr-092	NA	93	93	2
rtr-093	NA	94	94	2
rtr-094	NA	95	95	2
rtr-095	NA	96	96	2
rtr-096	NA	97	97	2
rtr-097	NA	98	98	2
rtr-098	NA	99	99	2
rtr-099	NA	100	100	2
rtr-100	NA	101	101	2
rtr-101	NA	102	102	2
rtr-102	NA	103	103	2
rtr-103	NA	104	104	2
rtr-104	NA	105	105	2
rtr-105	NA	106	106	2
rtr-106	NA	107	107	2
rtr-107	NA	108	108	2
rtr-108	NA	109	109	2
rtr-109	NA	110	110	2
rtr-110	NA	111	111	2
rtr-111	NA	112	112	2
rtr-112	NA	113	113	2
rtr-113	NA	114	114	2
rtr-114	NA	115	115	2
rtr-115	NA	116	116	2
rtr-116	NA	117	117	2
rtr-117	NA	118	118	2
rtr-118	NA	119	119	2
rtr-119	NA	120	120	2
rtr-120	NA	121	121	2
rtr-121	NA	122	122	2
rtr-122	NA	123	123	2
rtr-123	NA	124	124	2
rtr-124	NA	125	125	2
rtr-125	NA	126	126	2
rtr-126	NA	127	127	2
rtr-127	NA	128	128	2
rtr-128	NA	129	129	2
rtr-129	NA	130	130	2
rtr-130	NA	131	131	2
rtr-131	NA	132	132	2
rtr-132	NA	133	133	2
rtr-133	NA	134	134	2
rtr-134	NA	135	135	2
rtr-135	NA	136	136	2
rtr-136	NA	137	137	2
rtr-137	NA	138	138	2
rtr-138	NA	139	139	2
rtr-139	NA	140	140	2
rtr-140	NA	141	141	2
rtr-141	NA	142	142	2
rtr-142	NA	143	143	2
rtr-143	NA	144	144	2
rtr-144	NA	145	145	2
rtr-145	NA	146	146	2
rtr-146	NA	147	147	2
rtr-147	NA	148	148	2
rtr-148	NA	149	149	2
rtr-149	NA	150	150	2
rtr-150	NA	151	151	2
rtr-151	NA	152	152	2
rtr-152	NA	153	153	2
rtr-153	NA	154	154	2
rtr-154	NA	155	155	2
rtr-155	NA	156	156	2
rtr-156	NA	157	157	2
rtr-157	NA	158	158	2
rtr-158	NA	159	159	2
rtr-159	NA	160	160	2
rtr-160	NA	161	161	2
rtr-161	NA	162	162	2
rtr-162	NA	163	163	2
rtr-163	NA	164	164	2
rtr-164	NA	165	165	2
rtr-165	NA	166	166	2
rtr-166	NA	167	167	2
